geothermal_grad_degC_m,depth_m,log10_permeability_m2,permeability_md,porosity,thickness_m
0.0251,2698.4,-13.9,12.62,0.43,100
0.0277,1512.4,-14.79,1.66,0.18,3
0.0367,5345.7,-14.73,1.87,0.44,90
0.0157,4894,-12.08,849.67,0.32,65
0.0313,5024.9,-14.33,4.78,0.42,60
0.0421,1183.5,-12.03,948.61,0.18,95
0.0381,3649,-14.01,9.91,0.12,105
0.0217,3429,-12.93,119.97,0.18,110
0.0184,4787.8,-15.01,1,0.14,5
0.0456,4756.7,-12.75,181.58,0.13,100
0.0258,1480.6,-14.51,3.13,0.03,80
0.0437,3363.2,-14.66,2.24,0.27,25
0.0441,5049.1,-12.15,722.13,0.04,90
0.0477,1668.4,-14.71,1.96,0.36,85
0.0146,4417.3,-13.92,12.15,0.21,30
0.0489,2761.4,-12.18,667.92,0.32,110
0.0217,2436.6,-14.32,4.87,0.04,50
0.0413,1287.1,-12.07,858.67,0.3,90
0.0236,2491.3,-14.21,6.29,0.04,105
0.0471,2353.3,-12.83,149.5,0.4,10
0.0333,1890.2,-12.04,929.03,0.13,15
0.0294,3321.1,-13.17,68.2,0.21,75
0.0425,4548.1,-12.76,177.72,0.27,50
0.0336,1333.9,-12.11,790.62,0.35,5
0.0284,5409.9,-14.14,7.36,0.27,105
0.0403,921.6,-12.86,141.46,0.14,85
0.0382,3718.1,-14.35,4.51,0.37,90
0.034,4872.4,-12.7,201.1,0.34,105
0.0226,1028,-12.9,127.43,0.1,35
0.0489,2343.3,-13.47,34.42,0.15,40
0.0183,1797.1,-13.31,50.13,0.41,85
0.0482,4735.3,-14.95,1.13,0.38,95
0.0298,3332.2,-14.17,6.93,0.36,85
0.0309,3088,-13.27,54.53,0.07,110
0.025,2659.7,-13.07,85.85,0.41,55
0.0392,3346.3,-14.43,3.75,0.28,90
0.0369,2641.1,-14.28,5.34,0.27,95
0.0467,4778.5,-12.26,555.86,0.07,40
0.0413,2244.1,-13.67,21.45,0.42,60
0.0389,5079.8,-13.72,19.2,0.18,95
0.0264,3146,-13.59,26.19,0.33,30
0.0386,2453.2,-12.68,212.61,0.13,95
0.029,5311.7,-13.09,82.58,0.37,50
0.0202,1086,-13.1,80.29,0.29,15
0.0462,4556.7,-13.22,61.25,0.29,105
0.0351,1028.8,-13.61,25.04,0.06,25
0.0311,4704.3,-12.19,652.49,0.25,20
0.0246,3353.1,-13.46,35.01,0.1,80
0.0268,4296.4,-14.85,1.43,0.06,20
0.0373,1199.1,-12.95,113.91,0.27,110
0.0299,3915.9,-13.96,11.04,0.31,75
0.031,1660.6,-14.5,3.22,0.05,40
0.0301,3760.1,-14.25,5.67,0.11,5
0.0464,4771.8,-14.87,1.36,0.17,105
0.0177,1427.2,-12.4,399.15,0.4,3
0.0211,3685.3,-12.46,351.64,0.32,20
0.0217,4305.7,-13.69,20.47,0.11,3
0.044,4079.6,-14.04,9.17,0.06,25
0.0478,2563.5,-13.55,28.23,0.04,25
0.0388,5318.7,-12.82,151.7,0.08,3
0.0464,1726.2,-14.61,2.46,0.11,40
0.0153,2488.7,-13.06,88.56,0.37,35
0.0265,2496.9,-13.86,14.11,0.41,100
0.0285,4648.1,-12.63,239.17,0.39,5
0.0344,3666.9,-14.78,1.66,0.17,50
0.0177,4870.7,-13.13,75.06,0.43,35
0.0321,1742.8,-12.79,165.2,0.32,35
0.049,1595.1,-12.04,916.92,0.32,90
0.0406,2094.6,-11.97,1092.19,0.33,20
0.0135,4401.3,-14.95,1.14,0.42,65
0.0396,5361.7,-14.29,5.14,0.39,10
0.0316,4808.9,-14.9,1.27,0.37,100
0.0228,5380.9,-14.69,2.07,0.3,60
0.019,5404.9,-15.05,0.91,0.15,35
0.0465,1761.7,-14.58,2.69,0.41,40
0.0338,3312,-14.87,1.37,0.31,70
0.0442,3590,-14.09,8.3,0.06,80
0.0467,2105.2,-14.13,7.47,0.12,20
0.0334,1877.9,-13.78,16.91,0.17,55
0.014,3304.5,-13.35,45.52,0.37,3
0.0193,3444,-12.97,108.4,0.07,95
0.0157,2286.9,-14.27,5.39,0.4,95
0.044,3817.9,-13.25,57.49,0.06,90
0.0195,3653.2,-13.46,35.15,0.24,70
0.0232,5243.8,-13.17,68.54,0.37,15
0.0322,2860.5,-13.92,12.18,0.3,80
0.0194,1829.3,-13.89,13.02,0.16,100
0.0336,4395.1,-13.32,48.74,0.26,95
0.0306,4214.7,-13.54,28.93,0.04,90
0.0154,1983.5,-12.22,606.05,0.23,50
0.0184,3775,-11.99,1041.24,0.44,100
0.0358,3169.7,-14.84,1.46,0.41,30
0.0288,2328.4,-12.47,346.18,0.15,65
0.0208,3122.5,-12.1,797.99,0.18,100
0.0141,3714.4,-13.87,13.64,0.27,15
0.0237,3540.4,-12.42,387.53,0.15,105
0.0435,2153.1,-13.74,18.47,0.37,70
0.0163,962.4,-14.66,2.23,0.29,70
0.0326,4897.9,-13.13,74.46,0.13,45
0.0164,916.9,-13.11,79.49,0.12,15
0.0427,1505.9,-13.06,87.25,0.4,60
0.019,4284.9,-12.81,155.15,0.37,90
0.0177,5201,-12.18,676.09,0.22,85
0.0378,1670,-14.38,4.24,0.31,90
0.0411,3033.2,-14.04,9.28,0.44,10
0.0256,4792.4,-14.16,7.03,0.15,25
0.0163,2262.4,-14.04,9.34,0.33,30
0.0317,1326.6,-14.08,8.46,0.26,60
0.0274,4712.4,-14.84,1.46,0.22,75
0.0273,2571.1,-14.55,2.85,0.09,25
0.04,5422.5,-12.48,337.46,0.15,110
0.015,4024.7,-12.69,207.04,0.39,5
0.0141,3847.9,-14.72,1.95,0.07,75
0.017,5254.9,-12.48,336.94,0.05,70
0.0256,1486.5,-14.81,1.57,0.42,5
0.0453,4220.5,-15.04,0.93,0.28,10
0.017,4933.9,-14.78,1.7,0.3,80
0.0404,5034.2,-13.2,64.61,0.27,10
0.0401,5197.5,-12.63,236.07,0.37,15
0.0143,1868.5,-12.96,110.73,0.1,55
0.0161,2201.9,-14.88,1.33,0.16,45
0.0306,4160,-13.25,56.34,0.33,20
0.0462,3726.2,-13.77,17.23,0.14,90
0.0238,1321.6,-13.31,49.81,0.37,25
0.0148,4530,-14.74,1.85,0.31,75
0.0243,5230.5,-13.13,75.72,0.25,15
0.0413,2159.3,-14.61,2.5,0.26,75
0.0267,3475.2,-14.21,6.27,0.34,55
0.0156,1974.2,-14.21,6.28,0.18,20
0.0202,2269.6,-13.99,10.38,0.09,3
0.0167,5130.5,-13.44,37.02,0.23,20
0.042,2349.6,-12.27,549.13,0.28,25
0.024,1621.6,-13.5,31.73,0.26,60
0.0335,3979.5,-14.59,2.58,0.3,15
0.0319,5008.9,-13.23,60.09,0.43,100
0.0436,1969.2,-14.72,1.94,0.1,25
0.0261,2796.8,-14.5,3.18,0.39,65
0.0249,4148.8,-12.39,416.89,0.13,3
0.0166,1453.2,-13.03,93.58,0.24,110
0.0355,3868,-14.19,6.53,0.29,30
0.0191,1879.6,-14.98,1.07,0.32,45
0.0308,4178.1,-12.09,823.55,0.32,80
0.0432,2940.5,-14.22,6.07,0.42,50
0.0164,2813.7,-13.81,15.55,0.39,55
0.0375,3694.9,-14.41,3.96,0.28,65
0.0319,4435.9,-14.77,1.72,0.15,100
0.0138,4245.4,-13.49,32.6,0.29,110
0.0252,1975,-12.27,543.21,0.18,75
0.0449,1167.2,-13.21,62.88,0.43,70
0.0443,3088.7,-12.15,715.28,0.27,95
0.0346,1952,-13.85,14.43,0.29,15
0.0249,2974.4,-14.04,9.18,0.08,65
0.0391,1054.8,-13.33,47.19,0.14,15
0.0472,3909.8,-13.19,65.79,0.39,105
0.0455,4291.8,-14.37,4.28,0.28,65
0.0382,2663.3,-13.58,26.91,0.24,5
0.0247,2956,-13.91,12.53,0.34,95
0.0263,3268,-12.2,642.62,0.41,25
0.0158,1505,-11.98,1057.69,0.06,55
0.0303,5159.3,-13.9,12.81,0.36,105
0.0145,950.6,-13.69,20.79,0.43,30
0.0449,1639.9,-13.64,23.44,0.43,100
0.0372,5475.6,-13.54,28.94,0.22,95
0.0248,4703.7,-13.02,97.35,0.14,25
0.0411,2234.5,-14.25,5.73,0.19,100
0.0473,2703.6,-15.04,0.93,0.29,30
0.0349,4432.4,-11.99,1042.75,0.08,20
0.0478,4313.1,-13.8,16.11,0.37,5
0.0152,5324.1,-13.99,10.46,0.16,35
0.0427,4581,-13.96,11.07,0.11,3
0.0384,3324.2,-14.19,6.48,0.2,70
0.0237,5471.5,-12.07,856.24,0.33,110
0.0139,3641.1,-13.44,36.92,0.39,85
0.0342,3807.2,-12.8,159.24,0.16,3
0.0296,3087.7,-14.58,2.68,0.33,90
0.0153,3229.9,-13.38,42.65,0.11,70
0.0201,2842.3,-14.45,3.57,0.1,60
0.0327,3276.3,-12.69,206.56,0.05,3
0.0409,1837.2,-13.23,59.43,0.21,40
0.0219,3788.9,-13.99,10.41,0.17,40
0.0219,3854.3,-12.61,245.92,0.4,40
0.0252,3604.2,-12.89,131.95,0.28,85
0.0324,4146.7,-13.56,27.9,0.15,70
0.0376,1674,-12.13,755.1,0.4,95
0.0373,3894.6,-13.34,46.52,0.24,35
0.0264,954.6,-12.24,586.35,0.12,105
0.0382,3985.2,-14.87,1.37,0.16,80
0.0463,3115.9,-14.87,1.36,0.19,65
0.0228,4578.7,-14.88,1.33,0.08,70
0.0343,5281.1,-13.63,23.58,0.3,25
0.0174,1841.5,-13.96,10.99,0.05,75
0.0303,3863.9,-14.92,1.23,0.44,40
0.0437,1852.5,-14.46,3.54,0.21,80
0.0241,1263.7,-11.98,1072.01,0.03,3
0.0479,4603.4,-14.24,5.79,0.08,80
0.0235,2738.1,-12.75,179.12,0.31,85
0.0295,2134.5,-13.06,88.88,0.09,55
0.0492,2139,-13.84,14.57,0.21,10
0.0286,3505.3,-12.15,717.46,0.14,3
0.0299,1197.7,-13.75,18.11,0.33,75
0.0236,2487.2,-13,101.6,0.05,100
0.0307,3028.3,-13.03,93.98,0.35,30
0.035,3754.5,-14.83,1.49,0.17,60
0.0138,3478.6,-13.27,54.71,0.1,75
0.0266,4328.7,-12.95,114.58,0.21,20
0.0145,5210.7,-12.07,868.6,0.09,95
0.0299,1065.4,-14.24,5.83,0.27,20
0.0428,4607.5,-12.58,264.49,0.23,60
0.0254,960.1,-14.4,4.02,0.19,90
0.0302,1150.5,-13.83,15.11,0.18,25
0.0231,2298,-13.27,53.88,0.39,105
0.0344,4790.3,-12.71,195.89,0.09,3
0.0394,3861.5,-14.73,1.89,0.22,90
0.0485,2434,-12.79,165.98,0.24,35
0.0318,2564.5,-13.39,41.28,0.14,90
0.0306,913.8,-13.09,82.97,0.21,75
0.0345,3902,-12.34,468.38,0.21,30
0.0143,3115.3,-12.75,179.57,0.36,65
0.0442,2426.6,-12.2,640.72,0.29,25
0.0385,4514.6,-13.73,18.66,0.07,90
0.0248,2545.6,-14.68,2.11,0.09,35
0.0298,5066.1,-14.2,6.4,0.12,50
0.0265,2074.1,-13.87,13.53,0.2,25
0.0433,3708.6,-13.44,36.88,0.15,75
0.0354,3029.9,-12.55,288.08,0.05,65
0.0221,3534.3,-14.47,3.4,0.22,90
0.0231,4682.4,-14.24,5.84,0.16,105
0.0345,4188.2,-12.43,380.13,0.19,15
0.0412,4813.2,-14.44,3.71,0.33,105
0.0193,3022.8,-14.79,1.63,0.44,110
0.0363,3302.9,-14.29,5.24,0.24,105
0.0382,4927.2,-14.3,5.03,0.21,3
0.0243,4746.7,-13.1,80.38,0.15,55
0.0185,1653.7,-12.22,612.71,0.41,70
0.0172,3859.6,-13.95,11.39,0.08,65
0.0206,1701.2,-13.58,26.81,0.16,55
0.0255,2945.5,-14.5,3.21,0.05,100
0.0348,1496.6,-13,100.42,0.33,80
0.0334,4366.5,-13.92,12.04,0.07,105
0.0224,4979.1,-14.71,1.96,0.35,20
0.0313,2621.8,-13.63,23.89,0.34,90
0.0331,5301,-14.61,2.47,0.33,90
0.0371,2230,-13.81,15.63,0.39,80
0.035,5221.1,-12.91,123.92,0.37,70
0.021,4890.6,-14.78,1.7,0.08,3
0.0175,3262.1,-14.42,3.83,0.36,40
0.04,4258.1,-13.51,31.67,0.29,100
0.0388,1174.8,-14.26,5.58,0.3,95
0.0283,3921.9,-14.75,1.79,0.12,105
0.0397,4216,-13.96,11.17,0.11,15
0.0367,3279.5,-14.82,1.54,0.24,40
0.0176,5221.3,-14.06,8.79,0.07,70
0.0481,1243.1,-14.33,4.72,0.28,15
0.0166,3572.7,-11.98,1069.95,0.29,25
0.0412,2315.6,-12.41,391.26,0.14,15
0.0361,1020.3,-12.29,522.74,0.24,35
0.0367,3136.7,-14.12,7.77,0.35,105
0.0302,3669.8,-14.53,2.98,0.08,15
0.0337,3061.7,-14.08,8.37,0.43,3
0.0333,1396.4,-13.45,36.2,0.19,80
0.0283,997.2,-12.97,107.35,0.19,50
0.0149,3843.4,-14.83,1.51,0.32,30
0.0173,2450.9,-12.26,559.8,0.37,5
0.0439,3042.5,-13.12,77.57,0.06,3
0.0259,4281.3,-13.47,34.05,0.4,20
0.03,4575.6,-14.8,1.59,0.36,65
0.0245,1287.5,-13.09,81.53,0.13,75
0.025,3161.5,-13.26,55.2,0.19,55
0.0377,2736.1,-14.03,9.5,0.15,35
0.0298,4062.8,-13.62,24.1,0.32,85
0.0469,5189.2,-14.6,2.55,0.21,5
0.037,4728.9,-12.6,256.27,0.43,80
0.0142,4871,-13.71,19.63,0.27,60
0.0241,1426.7,-14.94,1.16,0.08,105
0.0334,4201.5,-13.84,14.72,0.06,90
0.0317,1473.9,-12.17,684.04,0.26,60
0.0278,2466.1,-12.64,234.52,0.32,65
0.0478,1308.1,-12.65,229.11,0.1,105
0.0341,3095.6,-13.59,26.08,0.4,75
0.0261,1246.8,-13.19,64.95,0.07,75
0.0227,2741.4,-12.6,252.19,0.32,15
0.0393,1049.3,-12.62,243.93,0.23,5
0.0414,1164.4,-13.97,10.74,0.28,65
0.0265,5246.7,-14.1,8.13,0.21,105
0.0423,3474.9,-14.3,5.05,0.12,55
0.0429,1055.7,-14.33,4.76,0.34,55
0.0467,2600.3,-14.56,2.8,0.04,45
0.0288,3658.5,-14.23,5.97,0.43,30
0.037,4055,-13.27,54.38,0.43,20
0.036,2145.8,-13.01,99.97,0.31,75
0.0389,3431.9,-13.66,22.01,0.16,65
0.0176,5116.4,-14.4,4.03,0.3,105
0.0411,4359.8,-13.43,37.86,0.19,3
0.0217,4589.6,-14.59,2.6,0.05,95
0.0398,4553.6,-14.32,4.9,0.25,65
0.0321,3264.4,-12.81,155.7,0.42,75
0.0277,905.5,-12.64,231.58,0.13,35
0.0153,1354.1,-12.99,103.04,0.15,85
0.0179,5216,-14.06,8.89,0.11,40
0.0392,2593.5,-13.76,17.59,0.15,85
0.0188,2081.3,-13.76,17.62,0.12,85
0.0146,4110.2,-13.52,30.34,0.08,40
0.0203,4013.6,-13.32,48.5,0.07,15
0.0345,4450.8,-14.71,1.96,0.1,45
0.0209,3039.6,-13.87,13.52,0.41,55
0.0385,3359.8,-13.88,13.34,0.15,105
0.0406,1298.1,-13.72,19.23,0.43,85
0.032,1083.6,-12.41,394.66,0.4,45
0.0484,4429.8,-13.89,12.94,0.14,50
0.0425,2338.4,-14.93,1.19,0.2,65
0.0403,2838.2,-12.35,457.69,0.23,40
0.0421,4630.9,-12.34,465.14,0.18,15
0.0169,2290.8,-12.42,383.19,0.44,100
0.0266,1859.7,-12.45,360.18,0.04,20
0.0324,1926.4,-14.91,1.25,0.22,100
0.0481,5161.1,-12.03,941.07,0.27,15
0.0269,1361.5,-15.03,0.95,0.27,90
0.0207,3970.5,-12.33,472.7,0.27,105
0.0442,2870.1,-12.71,198.64,0.27,15
0.0476,2261.1,-12.5,318.2,0.09,50
0.0306,3927.2,-12.9,127.89,0.08,50
0.0336,2860.5,-13.26,55.53,0.4,55
0.0322,3623.9,-13.05,89.5,0.37,35
0.0387,2308.4,-14.84,1.47,0.04,110
0.0137,2553.8,-12.27,548.39,0.42,75
0.0386,4672.2,-12.8,158.77,0.19,10
0.0349,2612.1,-14.35,4.48,0.4,70
0.0236,1930.5,-14.64,2.3,0.36,65
0.0159,3846.4,-12.64,231.99,0.42,80
0.02,2163.7,-12.29,515.22,0.29,85
0.042,1960.4,-13.01,99.77,0.29,65
0.0175,4255.2,-12.92,120.72,0.41,105
0.0261,4634.1,-15.05,0.91,0.17,3
0.0174,4145.1,-12.12,760.36,0.41,80
0.0346,1966.9,-14.13,7.54,0.19,25
0.0195,4158.7,-13.6,25.42,0.44,45
0.0354,1279.4,-14.22,6.13,0.15,5
0.0428,3785.1,-13.5,31.94,0.26,3
0.0172,4848.7,-14.82,1.54,0.08,110
0.0143,4765.5,-14.28,5.26,0.36,15
0.0324,3503.9,-13.12,76.95,0.04,95
0.0372,2770.5,-14.14,7.4,0.05,70
0.0417,4421.8,-12.1,813.33,0.32,60
0.049,4127.2,-14.04,9.33,0.1,30
0.0417,2493.7,-14.35,4.52,0.4,15
0.0473,3917.4,-14.93,1.2,0.37,95
0.0299,1567.1,-12.39,413.84,0.14,3
0.0438,2171.2,-12.36,442.43,0.17,60
0.0148,4348.8,-14.85,1.43,0.33,25
0.0234,5068.7,-13.38,42.42,0.09,100
0.0184,4596.2,-13.37,43.08,0.31,35
0.0277,4798.6,-13.99,10.25,0.23,25
0.023,2474.2,-13.31,49.7,0.36,85
0.0383,3757.8,-13.16,70.36,0.21,60
0.025,1632,-12.61,246.82,0.41,25
0.0172,1548.5,-12.84,145.13,0.39,5
0.0254,3090.5,-13.07,85.33,0.27,45
0.0275,1626.5,-12.02,962.07,0.07,105
0.0277,3645.4,-13.67,21.48,0.06,95
0.0443,3888.1,-14.28,5.29,0.09,105
0.0303,4229.7,-12.58,263.59,0.06,85
0.0305,4113.1,-14.42,3.82,0.17,45
0.031,1832.9,-13.04,93.04,0.26,5
0.0468,2471.9,-13.65,22.65,0.09,3
0.0197,2667.5,-12.04,923.43,0.38,85
0.022,1801.3,-14.71,1.97,0.22,80
0.0485,5251.6,-13.33,47.66,0.2,90
0.035,2294.4,-13.04,91.59,0.12,80
0.0142,1777.1,-14.57,2.7,0.11,3
0.0207,1694.5,-13.9,12.81,0.11,75
0.0385,4694.2,-14.97,1.08,0.42,90
0.0447,2412.9,-12.49,324.88,0.22,90
0.0478,5270.8,-12.53,295.67,0.2,90
0.0328,2241.5,-14.38,4.2,0.18,80
0.0446,4183.6,-12.69,206.15,0.07,75
0.0211,3548.5,-12.53,298.36,0.09,25
0.0352,2688.2,-13.3,51.12,0.36,45
0.0308,2396.8,-14.32,4.84,0.18,10
0.0198,5462.2,-12.36,440.01,0.05,50
0.0175,2763.8,-12.74,184.28,0.24,65
0.0339,5078.6,-12.59,261.94,0.28,15
0.0372,3340.1,-12.71,199.33,0.17,5
0.0138,2014.2,-14.92,1.21,0.21,110
0.0409,3899.5,-13.12,77.74,0.32,35
0.0179,4125.6,-12.56,275.91,0.14,60
0.0329,4817,-13.81,15.78,0.16,85
0.0437,5367.9,-12.38,424.37,0.24,10
0.0475,2985,-14.86,1.41,0.08,45
0.0186,3178.2,-13.41,39.24,0.1,85
0.042,3310,-11.97,1084.58,0.23,50
0.0167,4526.2,-13.07,85.64,0.12,85
0.0285,1253,-14.83,1.51,0.34,50
0.0198,2904.1,-13.77,17.4,0.12,70
0.0206,3018.8,-14.58,2.68,0.08,40
0.0393,1345.8,-14.74,1.86,0.16,100
0.0253,1161.8,-13.74,18.54,0.23,50
0.0454,1878,-14.34,4.64,0.32,40
0.0312,2733.4,-12.66,223.11,0.31,110
0.0215,1061.3,-12.96,111.05,0.22,90
0.0187,2753.6,-13.22,61.55,0.17,85
0.0231,4848,-13.17,68.76,0.2,105
0.0323,1614.4,-12.63,235.1,0.16,3
0.0276,3696.3,-13.53,29.72,0.32,15
0.0294,2540.2,-14.62,2.45,0.38,60
0.025,3001.1,-14.42,3.88,0.21,90
0.0438,3851.7,-14.63,2.38,0.34,95
0.0254,5257,-14.16,7.07,0.35,55
0.0174,3053.9,-13.33,47.73,0.15,10
0.049,5023.6,-13.9,12.69,0.07,30
0.0252,3969.2,-14.21,6.23,0.36,35
0.0429,2514,-14.96,1.12,0.43,60
0.0292,5319.2,-14.62,2.41,0.35,45
0.0319,2992.7,-14.23,5.94,0.28,65
0.021,3463.5,-14.54,2.95,0.09,95
0.0178,5289.6,-12.54,293.28,0.37,35
0.0282,2778.3,-12.83,148.35,0.13,3
0.0476,4018.8,-13.14,73.41,0.4,85
0.0346,3248.6,-13.19,66.1,0.11,55
0.0228,4859.2,-13.57,27.43,0.39,60
0.0438,2088,-13.43,37.83,0.29,55
0.0206,3985.7,-12.19,653.94,0.38,50
0.0463,4832.5,-12.86,140.26,0.35,10
0.0234,1088.3,-13.58,26.46,0.11,5
0.0431,2467.8,-12.2,636.17,0.04,80
0.018,3601.9,-12.07,853.33,0.42,30
0.0462,4023.3,-12.65,228.1,0.27,25
0.0194,2655.8,-12.3,502.44,0.23,45
0.0482,4047.4,-13.82,15.37,0.17,80
0.0154,4551.9,-11.97,1088.89,0.19,10
0.045,3146.9,-14.68,2.13,0.43,105
0.0254,1786,-15.01,0.98,0.35,55
0.0435,2237.6,-12.93,118.09,0.1,85
0.0325,4068.6,-13.2,63.61,0.42,5
0.0241,4547,-13.49,33.14,0.08,100
0.0159,2836.4,-12.82,152.45,0.09,90
0.0244,1236,-13.65,22.6,0.18,60
0.0406,2722.1,-13.36,44.71,0.34,95
0.0458,4595.4,-12.35,456.56,0.43,25
0.0204,3501.1,-14.28,5.34,0.05,80
0.0402,3975.1,-13.13,74.97,0.23,50
0.0436,5355,-14.11,7.91,0.04,50
0.0185,1253.3,-13.96,11.12,0.38,3
0.0447,3656.7,-14.59,2.61,0.35,50
0.0292,2806.3,-12.4,401.83,0.15,55
0.0272,2744.5,-14.05,8.96,0.09,5
0.0448,1799.8,-14.76,1.77,0.41,40
0.0157,1245,-13.76,17.43,0.23,60
0.0423,1145.8,-13.91,12.6,0.25,90
0.0422,2264.9,-14.83,1.48,0.04,45
0.0255,2238.1,-13.29,52.07,0.29,10
0.0473,5005.2,-12.02,978.34,0.04,75
0.0304,4853.4,-14.73,1.88,0.03,105
0.0432,3766.1,-12.6,257.41,0.4,75
0.0216,4543.9,-12.99,103.92,0.18,5
0.0331,4622.9,-14.53,3,0.37,80
0.0201,3381.2,-14.44,3.72,0.37,100
0.0338,2458.9,-14.58,2.68,0.1,15
0.0383,2673.8,-12.93,117.92,0.36,60
0.0173,5002.6,-12.89,130.29,0.1,45
0.0204,4591.9,-13.18,66.51,0.03,105
0.0245,2663.9,-13.32,48.09,0.2,5
0.0479,1196.3,-14.33,4.74,0.15,5
0.0324,3372.9,-13.52,30.71,0.36,45
0.0451,1217.6,-14,10.18,0.23,105
0.0186,2214.4,-12.38,419.81,0.19,40
0.0157,4663.4,-13.16,70.55,0.07,90
0.0413,1632.4,-14.28,5.37,0.17,90
0.0395,2921.4,-13.18,67.21,0.34,105
0.0166,3265.6,-13.33,46.87,0.37,10
0.0431,4078.3,-12.36,446.95,0.38,20
0.0378,1994.4,-14.16,7.01,0.3,95
0.0303,3294.4,-14.12,7.75,0.26,40
0.0289,3458.1,-12.1,804.21,0.28,110
0.0172,4916.3,-12.31,495.24,0.15,65
0.0299,3252.7,-12.69,205.12,0.32,40
0.0258,1601,-12.69,208.12,0.24,3
0.0344,3875,-12.86,138.88,0.38,100
0.0264,2024.9,-12.37,431.23,0.39,100
0.0203,5176.8,-13.96,11.06,0.35,80
0.0434,2131.4,-13.44,36.65,0.3,70
0.0189,1740,-13.24,57.89,0.22,5
0.0194,2930.2,-14.63,2.36,0.04,75
0.0271,1910.5,-14.25,5.63,0.36,10
0.0178,5127.1,-12.46,350.93,0.09,65
0.0416,1238.1,-13.1,79.85,0.36,105
0.0237,2476.9,-14.35,4.48,0.17,80
0.0183,2929.5,-13.73,19.04,0.16,65
0.0177,3121,-14.68,2.09,0.15,10
0.0156,3860.4,-12.17,687.1,0.11,35
0.0402,4127.4,-13.3,50.7,0.18,25
0.0315,1259,-12,1018.08,0.18,5
0.0477,3258.5,-14.1,8.11,0.24,70
0.0155,2000.8,-14.3,5.1,0.27,15
0.0312,3556.4,-15.02,0.96,0.1,50
0.0449,2007.2,-13.71,19.98,0.36,35
0.0446,2055.8,-12.48,332.65,0.36,10
0.036,2012.7,-13.77,17.26,0.22,15
0.0401,1195,-13.15,72.45,0.29,55
0.0227,2783.5,-14.95,1.14,0.31,105
0.0187,2095.9,-12.59,258.89,0.41,50
0.0398,2931.1,-14.03,9.53,0.29,95
0.0392,4446.1,-12.72,190.92,0.31,80
0.0226,1382.9,-12.63,237.61,0.3,80
0.0381,3782.9,-13.38,42.11,0.31,50
0.0479,5042.9,-14.06,8.8,0.12,70
0.0151,4204.1,-13.42,38.1,0.34,3
0.0311,1675.4,-13.14,73.14,0.44,95
0.0432,1941.5,-12.54,291.41,0.22,20
0.024,2550.5,-12.77,173.26,0.34,110
0.0389,1408.5,-12.33,477.95,0.06,100
0.0206,3251.2,-14.28,5.3,0.34,105
0.0191,1610.2,-12.46,348.3,0.44,80
0.0335,4501.2,-14.78,1.67,0.28,100
0.0452,2423.3,-12.77,172.18,0.09,20
0.0373,4092.8,-14.83,1.5,0.06,10
0.0469,4106.2,-12.84,148.01,0.09,80
0.0168,1647.2,-14.82,1.52,0.09,30
0.0361,3076.6,-12.29,520.21,0.12,80
0.0254,1364.2,-12.65,226.1,0.33,55
0.0326,5202.7,-12.37,436.06,0.09,3
0.0178,2329.9,-12.74,182.5,0.43,20
0.0172,2980.9,-14.92,1.22,0.19,25
0.0421,4309.5,-14.68,2.1,0.05,95
0.0475,3451.1,-13.88,13.46,0.43,10
0.0243,2030.9,-12.14,731.57,0.06,45
0.0226,973.5,-14.76,1.75,0.4,55
0.0195,2949.3,-12.82,152.08,0.15,3
0.0415,4025.4,-12.56,280.63,0.2,95
0.0257,4867.3,-13.14,73.75,0.38,80
0.0273,3525.8,-13.86,13.94,0.34,35
0.0159,4403.1,-13.91,12.43,0.32,10
0.0175,5205.3,-12.54,292.33,0.34,10
0.018,2359.6,-13.07,87.03,0.24,65
0.0141,4637.7,-13.38,42.55,0.22,80
0.0319,1741.5,-12.91,123.59,0.29,80
0.0175,4177.5,-13.83,15,0.36,105
0.0245,2605.4,-12.43,377.61,0.25,15
0.0197,3561,-14.47,3.46,0.4,3
0.0474,5451.4,-13.79,16.6,0.1,100
0.0234,5213,-12.17,690.43,0.17,30
0.0438,4593.3,-13.19,64.81,0.43,65
0.0316,5234,-14.46,3.48,0.09,45
0.049,1804.8,-12.44,367.97,0.39,85
0.0464,5453.9,-13.36,44.05,0.1,40
0.0332,2982.4,-12.26,557.04,0.38,100
0.0309,2671.1,-14.75,1.79,0.09,80
0.0411,2830.6,-12.24,584.34,0.18,55
0.016,2497.5,-12.92,122.53,0.43,100
0.0187,2702,-12.92,122.14,0.38,70
0.0489,3059.9,-12.3,506.4,0.06,35
0.0233,1068.1,-14.15,7.1,0.15,105
0.016,2072.2,-14.4,4.04,0.28,40
0.0241,4605.9,-13.6,25.24,0.05,45
0.04,3490.4,-14.22,6.12,0.16,15
0.0466,5324.8,-12.28,526.33,0.21,55
0.0403,1715.9,-14.93,1.19,0.3,65
0.0175,1755.4,-12.28,530.14,0.21,10
0.0165,3512.9,-12.5,323.62,0.07,10
0.0147,2504.4,-13.2,64.26,0.21,15
0.0341,3274.2,-15.05,0.91,0.03,80
0.0265,3520.3,-12.67,216.25,0.42,90
0.0432,4948.3,-13.17,68.43,0.22,85
0.015,2358.6,-13.47,34.28,0.44,50
0.0332,4163.5,-13.1,79.75,0.35,105
0.0362,4437.8,-14.73,1.87,0.26,55
